Description,ReleaseVersion,OperationStatus,EventTimestamp,LogicalLink,DiagnosticAddress,DiagNodeStatus,DTC_Integer,DisplayTroubleCode,DTC_TextTI,DTC_Text,DTC_Level,DtcStatusByte,MaskReason,AfterSalesText,OccurCount,DTCPrior,CentrAgingCount,KmMilea,TimeStamp,SnapshotCount
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_CentrElectUDS,0009,Success,15401216,U14FE00,U14FE00,Sichere on-board Kommunikation: Signaturüberprüfung fehlgeschlagen,1,104,,TBD,255,1,40,17,2026-07-13T15:49:13,0
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_CentrElectUDS,0009,Success,1074823,U112100,U112100,Rear_View Datenbus fehlende Botschaft,6,40,,TBD,3,6,14,5286,2026-08-11T18:06:18,0
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_Charg1MobilDevicUDS,00DE,Success,7065,U112100,U112100,"Information electronic 1, no communication",6,40,,TBD,1,6,40,7053,2026-08-23T14:30:17,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_CloseRangeRadar2UDS,810A,Success,12583001,C12BFF3,C12BFF3,Control_unit_Blindness_Error,4,40,,TBD,2,4,22,6362,2026-08-18T16:08:15,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_CloseRangeRadar4UDS,810C,Success,14680246,U112100,U112100,databus_message_missing_MainUnit_01_FASCANFD2,6,40,,TBD,2,6,39,7053,2026-08-23T14:31:01,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_CloseRangeRadar4UDS,810C,Success,15859819,U112300,U112300,error_value_NR_FR_Blindness_FASCANFD2,6,40,,TBD,2,6,25,6362,2026-08-18T16:08:15,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_CloseRangeRadar4UDS,810C,Success,15859797,U112300,U112300,error_value_APSOPS_PaCo_MainState_FASCANFD2,6,40,,TBD,2,6,39,7053,2026-08-23T14:31:02,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_DashBoardDisplUnitUDS,007E,Success,9582602,B13B901,B13B901,LVDS cable defect,5,32,,TBD,,,,,,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_DashBoardUDS,0017,Success,17561,U112100,U112100,FID_02 communication error ethernet_error_timeout,6,47,,TBD,47,6,40,16,2026-07-13T11:37:01,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_DashBoardUDS,0017,Success,1122816,U146700,U146700,ACC Service Timeout,6,32,,TBD,2,6,36,16777215,2063-12-31T00:00:00,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_DashBoardUDS,0017,Success,1122884,U146700,U146700,DrivingRange Service Timeout,6,32,,TBD,2,6,36,16777215,2063-12-31T00:00:00,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_DashBoardUDS,0017,Success,1122952,U146700,U146700,ChargingManagementCore Service Timeout,6,32,,TBD,2,6,36,16777215,2063-12-31T00:00:00,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_DashBoardUDS,0017,Success,1122969,U146700,U146700,ChargingManagementExtended Timeout,6,32,,TBD,2,6,38,3700,2026-08-03T12:20:28,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_DashBoardUDS,0017,Success,1127202,U146700,U146700,Immobilizer Service Timeout,6,32,,TBD,2,6,39,6376,2026-08-19T07:52:13,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_DashBoardUDS,0017,Success,1127253,U146700,U146700,ParkingBrake Service Timeout,6,32,,TBD,2,6,36,16777215,2063-12-31T00:00:00,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_DashBoardUDS,0017,Success,1131571,U146700,U146700,Driver Display Service Timeout,6,38,,TBD,87,6,40,17,2026-07-14T05:49:20,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_DoorElectDriveSideUDS,0042,Success,524330,U112100,U112100,Message Temperatures_01 missing,6,40,,TBD,1,6,40,7053,2026-08-23T14:30:19,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_DoorElectPasseSideUDS,0052,Success,524330,U112100,U112100,Message Temperatures_01 missing,6,40,,TBD,1,6,40,7053,2026-08-23T14:30:19,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_DoorElectRearDriveSideUDS,00BB,Success,524330,U112100,U112100,Message Temperatures_01 missing,6,40,,TBD,1,6,40,7053,2026-08-23T14:30:19,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_DoorElectRearPasseSideUDS,00BC,Success,524330,U112100,U112100,Message Temperatures_01 missing,6,40,,TBD,1,6,40,7053,2026-08-23T14:30:19,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_EnginContrModul1UDS,0001,Success,9461123,unknown,,unknown,-1,32,,TBD,7,2,40,506,2026-07-15T20:35:42,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_EnginContrModul1UDS,0001,Success,10224524,unknown,,unknown,-1,44,,TBD,8,6,40,2081,2026-07-25T18:51:13,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_EnginContrModul1UDS,0001,Success,13651596,unknown,,unknown,-1,32,,TBD,1,6,13,5209,2026-08-11T11:35:15,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_EnginContrModul1UDS,0001,Success,10407528,unknown,,unknown,-1,32,,TBD,1,6,17,5632,2026-08-15T06:52:17,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_FrontSensoDriveAssisSysteUDS,00A5,Success,1049407,U198B00,U198B00,Service_AdasFusedObjectsSmall_Front_Radar_Right_Blind,6,32,,TBD,,,,,,0
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_FrontSensoDriveAssisSysteUDS,00A5,Success,1049430,U198B00,U198B00,Service_AdasFusedObjectsSmall_Front_Radar_Right_Error,6,32,,TBD,,,,,,0
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_FrontSensoDriveAssisSysteUDS,00A5,Success,1049431,U198B00,U198B00,Service_AdasFusedObjectsSmall_Front_Radar_Left_Error,6,32,,TBD,,,,,,0
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_FrontSensoDriveAssisSysteUDS,00A5,Success,3145746,U112300,U112300,ACC_Status_ACC_reversibel_ERROR,6,32,,TBD,2,6,40,7053,2026-08-23T14:30:20,0
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_FrontSensoDriveAssisSysteUDS,00A5,Success,1048860,U112100,U112100,TIMEOUT_Einheiten_01,6,32,,TBD,1,6,40,7053,2026-08-23T14:30:20,0
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_FrontSensoDriveAssisSysteUDS,00A5,Success,1048975,U112100,U112100,TIMEOUT_MainUnit_01,6,32,,TBD,1,6,40,7053,2026-08-23T14:30:17,0
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_FrontSensoDriveAssisSysteUDS,00A5,Success,1048852,U112100,U112100,TIMEOUT_PSD_04,6,32,,TBD,6,6,40,3662,2026-08-03T09:07:51,0
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_FrontSensoDriveAssisSysteUDS,00A5,Success,1048853,U112100,U112100,TIMEOUT_PSD_05,6,32,,TBD,6,6,40,3662,2026-08-03T09:07:51,0
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_FrontSensoDriveAssisSysteUDS,00A5,Success,1048854,U112100,U112100,TIMEOUT_PSD_06,6,32,,TBD,6,6,40,3662,2026-08-03T09:07:51,0
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_FrontSensoDriveAssisSysteUDS,00A5,Success,3145836,U112100,U112100,TIMEOUT_GNSS_01,6,32,,TBD,,,,,,0
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_FrontSensoDriveAssisSysteUDS,00A5,Success,3145839,U112100,U112100,TIMEOUT_GNSS_05,6,32,,TBD,,,,,,0
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_FrontSensoDriveAssisSysteUDS,00A5,Success,3145845,U112100,U112100,TIMEOUT_POS_GNSS_03_Status,6,46,,TBD,255,6,40,16,2026-07-13T10:51:27,0
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_FrontSensoDriveAssisSysteUDS,00A5,Success,3145846,U112100,U112100,TIMEOUT_POS_GNSS_04_Guete,6,46,,TBD,255,6,40,16,2026-07-13T10:51:27,0
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_FrontSensoDriveAssisSysteUDS,00A5,Success,3145847,U112100,U112100,TIMEOUT_POS_GNSS_08_Zeit,6,46,,TBD,255,6,40,16,2026-07-13T10:51:27,0
